# t (s)	mx ()	my ()	mz ()	Dind (J/m2)	B_extx (T)	B_exty (T)	B_extz (T)
0	1.7570025e-09	3.5584863e-10	0.99042577	0.0027000008	0	0	0.64842486
0	-1.6457999e-09	-2.846789e-09	0.9906735	0.0027000008	0	0	0.7564956
0	2.6243836e-09	1.2454702e-09	0.9909089	0.0027000008	0	0	0.8645665
0	9.563432e-10	5.337729e-10	0.9911336	0.0027000008	0	0	0.97263706
0	-2.224054e-11	-5.337729e-10	0.991348	0.0027000008	0	0	1.0807077
0	0.07894117	0.016986711	-0.49169597	0.0029999998	0	0	0
0	7.2726563e-09	4.9818807e-09	0.9865559	0.0029999998	0	0	0.10807081
0	3.6029673e-09	-1.4233945e-09	0.9869555	0.0029999998	0	0	0.21614163
0	-1.1120269e-10	3.5584862e-09	0.98732954	0.0029999998	0	0	0.32421243
0	-3.0691945e-09	-3.5584862e-09	0.9876818	0.0029999998	0	0	0.43228325
0	2.513181e-09	-6.0494267e-09	0.9880144	0.0029999998	0	0	0.54035383
0	-8.451405e-10	-2.846789e-09	0.98832935	0.0029999998	0	0	0.64842486
0	1.690281e-09	2.1350917e-09	0.9886285	0.0029999998	0	0	0.7564956
0	-7.5617834e-10	3.5584863e-10	0.9889132	0.0029999998	0	0	0.8645665
0	1.2454702e-09	1.4233945e-09	0.9891849	0.0029999998	0	0	0.97263706
0	1.2232296e-09	3.7364107e-09	0.9894445	0.0029999998	0	0	1.0807077
